,Age,Number of siblings,Gender,Left - right handed,Education,BMI,Clusters
0,20.0,1.0,female,right handed,college/bachelor degree,18.06616733787497,1
1,19.0,2.0,female,right handed,college/bachelor degree,21.829952199932254,2
2,20.0,2.0,female,right handed,secondary school,21.62964876033058,4
3,22.0,0.0,female,right handed,college/bachelor degree,19.94321254732288,1
4,20.0,1.0,female,right handed,secondary school,20.41522491349481,0
5,20.0,1.0,male,right handed,secondary school,22.25690831309978,4
6,20.0,1.0,female,right handed,secondary school,15.959653994701394,3
7,19.0,1.0,male,right handed,college/bachelor degree,26.583175803402646,3
9,19.0,3.0,female,right handed,secondary school,19.817677368212443,0
10,19.0,2.0,female,left handed,secondary school,19.591836734693878,3
11,17.0,1.0,female,right handed,primary school,19.369834710743802,2
12,24.0,10.0,female,right handed,college/bachelor degree,19.48696145124717,1
13,19.0,1.0,female,right handed,secondary school,20.202020202020204,5
14,22.0,1.0,female,right handed,college/bachelor degree,18.612244897959183,0
15,18.0,0.0,male,right handed,secondary school,24.577867151840145,0
16,19.0,2.0,female,right handed,college/bachelor degree,21.224489795918366,3
18,18.0,2.0,male,right handed,secondary school,23.808797045267237,4
19,18.0,1.0,male,left handed,secondary school,25.46401086464464,4
20,20.0,1.0,male,right handed,secondary school,22.25690831309978,4
21,24.0,1.0,male,left handed,secondary school,24.56931437160365,1
23,20.0,3.0,female,right handed,secondary school,19.13265306122449,0
24,19.0,1.0,female,right handed,secondary school,18.286779733945284,3
25,20.0,0.0,female,right handed,secondary school,19.377162629757787,5
26,22.0,1.0,female,left handed,college/bachelor degree,23.140495867768596,4
27,19.0,1.0,female,right handed,secondary school,18.818924310286427,4
28,20.0,0.0,male,left handed,secondary school,22.877405702193368,3
29,19.0,2.0,female,right handed,secondary school,21.258503401360546,0
30,25.0,1.0,male,right handed,secondary school,25.97867956642479,4
31,22.0,1.0,female,right handed,secondary school,25.53544639152223,5
32,20.0,4.0,female,left handed,secondary school,18.426534209261334,4
33,27.0,1.0,female,right handed,masters degree,24.221453287197235,2
34,20.0,5.0,male,right handed,college/bachelor degree,21.38593635289987,2
35,19.0,1.0,female,right handed,secondary school,24.913494809688583,0
36,18.0,1.0,female,right handed,secondary school,21.71806608974573,1
37,21.0,1.0,male,right handed,secondary school,29.510591672753833,1
38,23.0,1.0,female,right handed,secondary school,21.258503401360546,0
39,21.0,1.0,female,right handed,secondary school,19.14672216441207,1
40,26.0,1.0,female,right handed,secondary school,20.9572742022715,5
41,20.0,3.0,male,right handed,college/bachelor degree,22.634676324128566,4
42,19.0,0.0,female,right handed,secondary school,31.14186851211073,0
43,20.0,1.0,female,right handed,college/bachelor degree,20.70081674131507,3
44,25.0,1.0,female,right handed,masters degree,23.18339100346021,0
45,27.0,1.0,male,right handed,masters degree,23.808797045267237,0
46,21.0,1.0,female,right handed,college/bachelor degree,20.70081674131507,0
48,20.0,0.0,female,right handed,secondary school,23.938989774631512,5
49,20.0,1.0,female,right handed,primary school,16.633534828999146,1
50,19.0,2.0,female,right handed,college/bachelor degree,19.591836734693878,4
51,19.0,1.0,female,right handed,secondary school,21.179406843378686,4
52,21.0,2.0,female,right handed,secondary school,22.656249999999996,4
53,18.0,4.0,female,right handed,secondary school,18.961927424152293,4
54,21.0,2.0,female,right handed,college/bachelor degree,22.265624999999996,4
55,23.0,1.0,female,right handed,college/bachelor degree,16.528925619834713,0
56,20.0,2.0,female,left handed,secondary school,22.145328719723185,2
57,21.0,1.0,female,right handed,secondary school,18.25631871475516,2
58,19.0,1.0,male,right handed,secondary school,20.74506939371804,3
59,22.0,1.0,male,right handed,college/bachelor degree,23.355636914530994,4
60,23.0,1.0,male,right handed,college/bachelor degree,23.510204081632654,2
61,23.0,1.0,male,left handed,secondary school,20.569329660238754,0
62,23.0,2.0,male,right handed,secondary school,22.67573696145125,4
64,18.0,0.0,female,right handed,primary school,16.049382716049383,0
65,17.0,0.0,male,left handed,primary school,24.543462381300216,3
66,20.0,1.0,male,right handed,secondary school,24.78425751739377,0
67,24.0,0.0,female,right handed,college/bachelor degree,22.656249999999996,5
68,18.0,1.0,female,right handed,college/bachelor degree,19.05197378448407,0
69,20.0,3.0,female,left handed,secondary school,17.68978885166924,5
70,17.0,0.0,male,right handed,secondary school,23.959094229364496,3
71,20.0,0.0,male,left handed,secondary school,27.102040816326532,3
72,28.0,1.0,female,right handed,secondary school,18.42403628117914,0
73,21.0,0.0,male,right handed,secondary school,25.53544639152223,3
74,22.0,1.0,male,right handed,masters degree,22.1606648199446,3
75,20.0,1.0,male,right handed,secondary school,20.887586805555557,4
77,21.0,1.0,female,right handed,secondary school,19.591836734693878,0
78,24.0,1.0,female,right handed,college/bachelor degree,26.02264426588751,0
79,21.0,2.0,female,right handed,secondary school,21.04981790236894,0
80,19.0,1.0,female,right handed,secondary school,18.06616733787497,0
81,22.0,1.0,male,right handed,secondary school,25.53544639152223,0
82,18.0,1.0,female,right handed,secondary school,17.68978885166924,2
83,22.0,2.0,female,right handed,secondary school,19.94805976890361,0
84,19.0,0.0,female,right handed,secondary school,17.006802721088437,4
85,22.0,2.0,male,right handed,college/bachelor degree,20.964360587002094,0
86,24.0,3.0,male,right handed,masters degree,20.286507911738084,3
87,18.0,3.0,female,right handed,college/bachelor degree,19.77769866698311,0
88,21.0,0.0,female,right handed,secondary school,27.885187388459254,0
89,22.0,2.0,female,right handed,masters degree,20.5456936226167,2
90,19.0,3.0,female,right handed,secondary school,24.456063417102378,1
92,19.0,0.0,female,right handed,college/bachelor degree,21.79930795847751,2
93,24.0,2.0,male,right handed,masters degree,26.122448979591837,1
94,21.0,1.0,male,right handed,secondary school,21.22280827689523,3
95,21.0,1.0,male,right handed,college/bachelor degree,23.148148148148145,0
96,19.0,1.0,male,right handed,college/bachelor degree,24.453568409612362,3
97,19.0,1.0,male,right handed,primary school,18.75,3
98,22.0,1.0,male,right handed,secondary school,20.0177299894192,0
99,18.0,1.0,female,left handed,secondary school,19.05197378448407,5
100,21.0,1.0,female,right handed,secondary school,23.99945916711736,4
101,18.0,1.0,male,right handed,secondary school,23.91327452439154,2
102,20.0,0.0,female,right handed,secondary school,19.48696145124717,2
104,21.0,1.0,male,right handed,secondary school,21.604938271604937,4
105,24.0,1.0,male,right handed,college/bachelor degree,23.355636914530994,1
106,19.0,1.0,male,right handed,secondary school,24.151672503320853,4
108,17.0,1.0,female,right handed,primary school,21.612811791383223,1
109,18.0,0.0,male,right handed,secondary school,20.983987603305785,1
110,21.0,1.0,male,right handed,college/bachelor degree,20.45288531775018,4
111,22.0,1.0,female,right handed,college/bachelor degree,20.322252866889244,4
112,20.0,1.0,female,left handed,secondary school,20.32443825510934,5
114,19.0,1.0,female,right handed,secondary school,20.32443825510934,1
115,17.0,0.0,female,right handed,secondary school,20.244897959183675,0
116,21.0,1.0,female,right handed,college/bachelor degree,21.35779559539232,1
117,18.0,3.0,female,right handed,secondary school,20.202020202020204,5
118,23.0,1.0,male,right handed,college/bachelor degree,19.591836734693878,2
119,16.0,1.0,female,right handed,secondary school,20.832529609197174,3
120,23.0,0.0,male,right handed,college/bachelor degree,25.46401086464464,0
121,21.0,2.0,male,right handed,secondary school,26.234567901234566,3
122,23.0,0.0,female,right handed,masters degree,23.011176857330703,2
123,20.0,0.0,female,left handed,secondary school,27.041644131963228,2
125,20.0,1.0,female,right handed,secondary school,21.907582457706194,4
126,20.0,2.0,female,right handed,secondary school,21.077195227520797,5
127,19.0,1.0,female,right handed,primary school,20.428357113217785,4
128,15.0,3.0,female,left handed,primary school,16.372080590731397,0
129,20.0,1.0,female,right handed,secondary school,23.671253629592222,0
130,19.0,1.0,female,right handed,secondary school,23.384353741496604,3
131,18.0,0.0,male,right handed,primary school,27.65174904024269,3
132,15.0,1.0,female,right handed,primary school,17.647058823529413,5
133,20.0,2.0,female,right handed,college/bachelor degree,17.301038062283737,1
134,16.0,0.0,female,right handed,secondary school,20.41522491349481,0
135,18.0,1.0,male,right handed,secondary school,18.115412710007302,2
136,21.0,1.0,male,right handed,secondary school,26.296566837107374,5
137,20.43369890329013,0.0,female,right handed,primary school,21.179406843378686,4
138,20.0,4.0,female,right handed,secondary school,17.71541950113379,1
139,19.0,1.0,female,right handed,college/bachelor degree,18.77834467120182,0
140,19.0,3.0,female,right handed,college/bachelor degree,16.979591836734695,0
141,19.0,0.0,female,right handed,primary school,22.49134948096886,0
142,20.43369890329013,1.0,male,left handed,primary school,21.179406843378686,3
143,20.0,1.0,female,right handed,secondary school,21.9671201814059,0
145,19.0,1.0,female,right handed,secondary school,28.650137741046834,3
147,18.0,2.0,male,right handed,secondary school,24.251278305332356,5
148,20.0,3.0,male,right handed,secondary school,20.202020202020204,0
149,19.0,5.0,male,right handed,college/bachelor degree,25.10633270321361,1
150,22.0,1.0,female,right handed,secondary school,19.4707778735357,2
151,20.0,1.0,male,right handed,secondary school,30.864197530864196,2
152,25.0,2.0,male,right handed,college/bachelor degree,24.913494809688583,0
153,21.0,0.0,female,right handed,college/bachelor degree,17.99307958477509,3
154,24.0,1.0,male,right handed,college/bachelor degree,23.66691015339664,2
155,19.0,1.0,female,right handed,secondary school,24.622960911049557,4
156,25.0,0.0,male,left handed,doctorate degree,30.961728749720702,0
157,26.0,2.0,male,right handed,masters degree,19.591836734693878,3
