,Dance,Folk,Country,Classical music,Musical,Pop,Rock,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Entertainment spending,Clusters
0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1
1,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2
2,2.0,2.0,3.0,4.0,5.0,3.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,1.0,4.0,4
3,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,1
4,4.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,0
5,2.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,4
6,5.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,3
7,3.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,3
9,2.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,0
10,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3
11,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,3.0,2
12,1.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1
13,5.0,3.0,2.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,5
14,2.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,0
15,2.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,0
16,3.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,3
18,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
19,3.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4
20,3.0,2.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,4
21,1.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1
23,4.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,0
24,3.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,3
25,4.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,5
26,5.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,5.0,3.0,5.0,2.0,4.0,4
27,3.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4
28,5.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3
29,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0
30,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4
31,4.0,1.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,5
32,3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4
33,2.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2
