,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,HE12,C,0,91,2019-12-08T01:32:52
0,HLM,C,508,583,2019-12-08T01:33:07
0,RHM,C,147,322,2019-12-08T01:32:53
0,BM29,C,84,97,2019-12-08T01:32:47
0,Q81,C,72,96,2019-12-08T01:32:45
0,C20,C,131,173,2019-12-08T01:33:03
0,FR3M,C,169,228,2019-12-08T01:33:07
0,C32,C,102,289,2019-12-08T01:33:00
0,C6,C,146,332,2019-12-08T01:32:48
0,TG2,C,81,273,2019-12-08T01:33:02
0,BP1,C,241,543,2019-12-08T01:32:51
0,TG1,C,46,133,2019-12-08T01:33:07
0,TGM2,C,131,189,2019-12-08T01:33:02
0,TE14,C,41,138,2019-12-08T01:32:55
0,BM3,C,0,48,2019-12-08T01:32:59
0,BM9,C,121,612,2018-12-17T07:42:34
0,HG44,C,19,180,2019-12-08T01:28:29
0,HG64,C,42,80,2019-12-08T01:28:44
0,PM27,C,93,308,2019-12-08T01:28:27
0,PM28,C,90,302,2019-12-08T01:28:37
0,TM36,C,29,221,2019-12-08T01:28:45
0,TM37,C,44,238,2019-12-08T01:28:47
0,T50,C,60,362,2019-12-08T01:28:32
0,T51,C,0,351,2019-12-08T01:28:49
0,TM43,C,201,249,2019-12-08T01:28:35
0,T15,C,13,30,2019-12-08T01:28:39
0,T16,C,24,107,2019-12-08T01:28:29
0,T17,C,23,245,2019-12-08T01:28:41
0,T18,C,37,84,2019-12-08T01:28:51
0,B9,C,85,197,2019-12-08T01:28:35
0,B10,C,128,511,2019-12-08T01:28:30
0,B14,C,61,208,2018-10-29T09:18:49
0,WCB,C,78,134,2019-12-08T01:31:21
0,ACB,C,62,96,2019-12-08T01:31:57
0,CY,C,27,37,2019-12-08T01:31:57
0,AM46,C,16,408,2019-12-08T01:33:18
0,A12,C,120,205,2019-12-08T01:32:12
0,BE45,C,65,363,2019-12-08T01:32:15
0,BE39,C,255,707,2019-12-08T01:32:03
0,BE40,C,201,339,2019-06-18T10:58:35
0,RCB,C,181,320,2017-03-31T12:00:21
0,CR29,C,23,56,2019-12-08T01:32:01
0,KLM,C,288,352,2019-12-08T01:31:02
0,SE34,C,42,270,2019-12-08T01:32:24
0,KB7,C,54,65,2019-12-08T01:30:37
0,SE31,C,50,195,2019-12-08T01:32:16
0,J56,C,0,15,2019-12-08T01:31:42
0,J57,C,323,363,2019-12-08T01:31:46
0,J57L,C,8,13,2019-12-08T01:31:46
0,J33,C,48,111,2019-12-08T01:31:43
0,J34,C,38,105,2019-12-08T01:32:15
0,BL8,C,313,500,2019-12-08T01:32:25
0,J36,C,210,494,2019-12-08T01:31:40
0,J54,C,140,226,2019-12-08T01:31:54
0,J55,C,98,141,2019-12-08T01:29:12
0,J43,C,61,190,2019-12-08T01:28:40
0,J46,C,27,63,2019-12-08T01:31:29
0,KB1,C,116,239,2019-12-08T01:32:17
0,GBM,C,471,677,2019-12-08T01:32:17
0,SE14,C,48,187,2019-12-08T01:32:17
0,SE50,C,381,591,2019-12-08T01:32:17
0,J40,C,91,209,2019-12-08T01:30:20
0,JM1,C,49,341,2019-12-08T01:32:11
0,J32,C,106,188,2019-12-08T01:32:11
0,A11,C,172,368,2019-12-08T01:32:06
0,TR1,C,147,383,2019-12-08T01:32:29
0,JBM,C,298,342,2019-12-08T01:32:54
0,TE2,C,192,213,2019-12-08T01:33:01
0,CR31,C,14,90,2019-12-08T01:30:46
0,J1,C,174,368,2019-12-08T01:32:06
0,J2,C,94,200,2019-12-08T01:29:12
0,J3,C,124,308,2019-12-08T01:31:39
